All _Im,China_Im,All_Ex,China_Ex,All_T,China_T
"62,659.10","4,884.80","64,299.40","2,478.60","1,640.20","-2,406.30"
"65,289.50","5,153.90","62,806.60","2,637.20","-2,482.80","-2,516.70"
"65,373.20","5,348.70","60,515.30","1,822.60","-4,857.90","-3,526.10"
"62,251.60","3,951.80","61,433.70","2,425.90",-817.9,"-1,525.80"
"64,375.10","4,830.00","64,638.50","2,393.50",263.4,"-2,436.40"
"65,032.60","5,164.80","65,721.10","2,627.90",688.5,"-2,536.90"
"63,367.20","4,880.00","65,689.90","2,552.30","2,322.70","-2,327.70"
"64,352.70","5,134.70","65,048.70","2,620.30",696,"-2,514.40"
"64,352.00","5,093.80","63,487.60","2,532.10",-864.4,"-2,561.70"
"62,335.60","4,479.50","62,937.30","2,277.50",601.7,"-2,202.10"
"65,247.80","5,260.90","66,393.80","2,564.00","1,146.00","-2,696.90"
"64,588.50","5,380.70","63,017.50","2,367.90","-1,571.00","-3,012.80"
"65,169.60","5,233.00","64,458.50","2,378.40",-711.1,"-2,854.50"
"64,369.40","5,160.30","62,987.40","2,513.90","-1,381.90","-2,646.50"
"66,097.40","5,462.70","65,918.00","2,538.00",-179.4,"-2,924.70"
"64,974.00","5,168.00","65,658.00","2,729.50",684,"-2,438.50"
