Type,Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Products of animal origin,11,23946024 ,21273860 ,23327295 ,10875765 ,11842038 ,11976387 ,18089708 ,30341386 ,34939672 ,22964690 
"Beverages, spirits and vinegar",31,7563360 ,7049167 ,7328557 ,12765051 ,20701335 ,25014018 ,15062634 ,15452632 ,28237967 ,20610781 
"Manufacturers of plaiting material, basketwork",31,40989148 ,28401479 ,21743321 ,19446556 ,20791436 ,22259324 ,16469545 ,24874457 ,28082513 ,19016369 
Nickel,31,4820098 ,4410922 ,8448702 ,5511059 ,10928568 ,14711695 ,7312338 ,12935552 ,19069372 ,16640114 
"Arms and ammunition, parts and accessories",31,25975939 ,16643365 ,14847792 ,16555375 ,16533742 ,13800186 ,18645853 ,25289546 ,22276475 ,15500469 
Cotton,31,21112006 ,20113966 ,18439461 ,16277011 ,16865545 ,17038274 ,17924808 ,20867118 ,16483361 ,14605086 
"Wool, animal hair, horsehair yarn",31,22339550 ,20617043 ,21729013 ,17922703 ,20506713 ,18995888 ,8603737 ,8063653 ,15582518 ,13526243 
"Explosives, pyrotechnics, matches, pyrophorics",31,15753373 ,10631915 ,12372207 ,12422902 ,11950985 ,11996455 ,5674129 ,7963658 ,14538045 ,12598570 
Ores slag and ash,21,2026252 ,3712586 ,2594398 ,2668501 ,2116583 ,2157548 ,2882706 ,3998438 ,19053936 ,10874501 
Zinc,31,9662697 ,9691945 ,9547181 ,8939616 ,10433129 ,9295015 ,7436782 ,8639376 ,9661004 ,10674513 
Fertilizers,11,11721941 ,7403791 ,7750846 ,9013733 ,13847621 ,15092582 ,16624618 ,11538546 ,7046849 ,8527618 
"Live trees, plants, bulbs, roots, cut flowers",11,2765199 ,3067083 ,2966666 ,3363592 ,3103395 ,4436813 ,5293416 ,8816288 ,10329830 ,6927432 
"Dairy products, eggs, honey, edible products",31,4662413 ,4839091 ,4969407 ,4313763 ,4083860 ,5385342 ,5367714 ,5358100 ,6908165 ,6769241 
Photographic or cinematographic goods,51,2882941 ,2819646 ,1858119 ,1838070 ,1484127 ,2092545 ,3142447 ,4813470 ,8356819 ,6668466 
"Works of art, collectors' pieces and antiques",71,14111229 ,13450545 ,12000416 ,10226857 ,12894324 ,10294834 ,6703641 ,10404105 ,10317283 ,6455598 
Cocoa and cocoa preparations,31,4794790 ,5710829 ,4200116 ,3956280 ,5075170 ,10673440 ,4483520 ,14720322 ,14375068 ,5885762 
"Milling products, malt, starches, inlin, wheat gluten",31,7331810 ,11394636 ,12154681 ,9923860 ,10021098 ,4066497 ,7647855 ,7479856 ,8692187 ,5697997 
Furskins and artificial fur,44,27304332 ,35077282 ,31495093 ,29237645 ,35660039 ,43245431 ,21177204 ,20377906 ,10841413 ,5600547 
Cereals,11,2926436 ,3159616 ,3207284 ,4513769 ,6005857 ,5570207 ,5547963 ,5541572 ,5158289 ,3833494 
"Vegetable plaiting materials, vegetable products",11,3302169 ,3665452 ,3272968 ,3440220 ,3377083 ,3596899 ,3736247 ,5590017 ,9555774 ,3429544 
"Vegetable textile fibers not specified elsewhere, paper yarn, woven fabric",31,3268313 ,4242956 ,3717369 ,3755746 ,3532861 ,3655648 ,2999599 ,3982307 ,3952468 ,3076954 
Tin,31,10193069 ,6467198 ,4252664 ,10388452 ,9638470 ,3807433 ,3376249 ,4271203 ,3927789 ,2133592 
Cork and articles of cork,31,4196139 ,3684834 ,3295215 ,3534355 ,3280456 ,3275178 ,2769903 ,3158649 ,2564383 ,1779984 
Silk,31,2147573 ,1380117 ,1852196 ,1968519 ,1353228 ,1624933 ,833058 ,1277407 ,1589508 ,1414008 
Raw hides and skins (other than furskins) and leather,31,1989830 ,2427016 ,2357925 ,1835680 ,1362007 ,1310743 ,1167822 ,1198218 ,1989764 ,1369114 
Lead,31,599748 ,713148 ,400083 ,268196 ,385748 ,608068 ,453709 ,1625721 ,942932 ,1020029 
Live animals,11,8318301 ,5036605 ,10145895 ,9585802 ,8362414 ,9206734 ,4588996 ,545802 ,2190119 ,615617 
"Pulp of wood, fibrous cellulosic material, waste",31,496125 ,104970 ,125980 ,293940 ,85472 ,126756 ,203604 ,181743 ,476702 ,176858 
Meat and edible meat offal,11,233270 ,172491 ,122154 ,830008 ,24922 ,127877 ,3553 ,28322 ,88867 ,145680 
