Type,Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
clocks-watches,44,1563711 ,759351 ,855610 ,1840960 ,5155076 ,1735484 ,438689 ,66593 ,98034 ,312815 
articles-apparel-accessories-not-knit-crocheted,44,1989098 ,2614208 ,3628888 ,7908973 ,25658824 ,72874839 ,61423911 ,163215945 ,108564780 ,123801133 
cocoa-cocoa-preparations,31,887930 ,4557327 ,2710792 ,821931 ,1088959 ,1408229 ,1891948 ,2676991 ,2057701 ,1355099 
articles-iron-steel,31,41234289 ,37781149 ,41993136 ,34123119 ,36374065 ,35343281 ,43945460 ,44797553 ,53628261 ,27517968 
other-made-textile-articles-sets-worn-clothing,31,3133557 ,2679927 ,1660000 ,933041 ,1450135 ,1783382 ,5568849 ,432917 ,430887 ,665785 
cotton,11,67638 ,28625 ,74877 ,78080 ,28060 ,12657 ,111323 ,253563 ,157934 ,47804 
iron-steel,31,103099214 ,96684732 ,105662858 ,132347904 ,96448537 ,97090449 ,97946364 ,74077339 ,22103002 ,37841309 
aluminum,31,215657830 ,198564768 ,148882393 ,204750028 ,189745752 ,153646363 ,71162560 ,46519889 ,75178765 ,96293076 
copper,31,283459057 ,374049952 ,256970204 ,243375797 ,172124374 ,131419082 ,119069056 ,214181922 ,314902645 ,326603315 
animal-vegetable-fats-oils-cleavage-products,31,451871852 ,440626079 ,441551385 ,522447415 ,877170344 ,641359336 ,844911370 ,803007104 ,295369749 ,159378358 
manmade-staple-fibers,31,1819994 ,1220616 ,1444518 ,1515395 ,1030335 ,1507941 ,2184205 ,862579 ,348603 ,391128 
vegetable-textile-fibers-paper-yarn-woven-fabric,31,1827282 ,4322841 ,557860 ,1456865 ,1092 ,213502 ,782138 ,271674 ,20324 ,2137 
soaps-lubricants-waxes-candles-modelling-pastes,31,17437750 ,10276410 ,9589938 ,12654163 ,11094365 ,13894121 ,16415851 ,12883196 ,12081921 ,11982110 
furniture-lighting-signs-prefabricated-buildings,31,11201998 ,10832037 ,15417337 ,25193296 ,17667763 ,9439559 ,7249127 ,10945499 ,9708090 ,10207151 
headgear,44,653935 ,1033240 ,667479 ,725507 ,2495779 ,2551190 ,1261318 ,3396417 ,3454285 ,1254319 
footwear-gaiters-like,44,119570 ,413875 ,1588915 ,889989 ,457442 ,793632 ,2071578 ,2493089 ,3505769 ,2828706 
live-animals,11,4376403 ,1334393 ,5255536 ,6178967 ,11134868 ,3935455 ,2108793 ,1559923 ,1078713 ,81264 
raw-hides-skins-than-furskins-leather,31,205617550 ,130593217 ,144467199 ,146384498 ,106076700 ,93708512 ,62945893 ,104129262 ,89447794 ,83315009 
fertilizers,11,351971069 ,553775381 ,298455934 ,391617274 ,548503426 ,646138439 ,508330351 ,324117420 ,1186755645 ,675337769 
rubbers,31,96061427 ,43269980 ,72008341 ,80920004 ,112092406 ,92816207 ,69342464 ,70628392 ,56875952 ,39297605 
special-woven-tufted-fabric-lace-tapestry,31,99257 ,162478 ,545430 ,371302 ,274047 ,391095 ,983854 ,809363 ,633347 ,275005 
meat-edible-meat-offal,11,219278374 ,376768547 ,489695773 ,495058688 ,460154036 ,528245116 ,1298647127 ,778969364 ,345121152 ,414527087 
coffee-tea-mate-spices,44,335268 ,446257 ,353337 ,280477 ,146361 ,808905 ,1527783 ,4867835 ,9132194 ,7057190 
explosives-pyrotechnics-matches-pyrophorics,31,5582777 ,795658 ,702712 ,656723 ,238893 ,643030 ,98923 ,60390 ,772534 ,470983 
tools-implements-cutlery-base-metal,31,16582274 ,12871961 ,13549518 ,13863492 ,9676732 ,15009721 ,10230438 ,13117749 ,10617848 ,10042449 
products-animal-origin,31,23797183 ,23122759 ,19094418 ,24518301 ,31420960 ,19369552 ,16664937 ,5597798 ,7275348 ,20163873 
edible-vegetables-certain-roots-tubers,11,290835342 ,248885328 ,333222603 ,346511911 ,557363602 ,535425750 ,708277154 ,632472223 ,671703084 ,617039621 
manmade-filaments,31,1560870 ,752535 ,490406 ,552499 ,2033568 ,5930619 ,2911019 ,4783305 ,8902721 ,5496848 
organic-chemicals,31,584326520 ,529083551 ,499164845 ,659273465 ,620338222 ,442797913 ,410374483 ,404757196 ,614881049 ,582203628 
wadding-felt-nonwovens-yarns-twine-cordage,31,1216266 ,1548395 ,1102146 ,506327 ,673757 ,906894 ,751585 ,1044301 ,602835 ,1090173 
salt-sulphur-earth-stone-plaster-lime-cement,31,17788208 ,44535607 ,56484548 ,73006092 ,58306193 ,56126472 ,13706358 ,33004092 ,103875710 ,63018996 
mineral-fuels-oils-distillation-products,21,940719039 ,561063735 ,570860436 ,970574205 ,1021348713 ,912263150 ,867699837 ,3039089151 ,2804469432 ,2397955590 
railway-tramway-locomotives-rolling-stock-equipment,48,366900 ,769698 ,2958706 ,673031 ,503266 ,721101 ,710602 ,528838 ,1429423 ,574088 
